movie_id,title,cast,crew
9101,Down Periscope,"['Kelsey Grammer', 'Lauren Holly', 'Rob Schneider', 'Harry Dean Stanton', 'Bruce Dern', 'William H. Macy', 'Rip Torn', 'Ken Hudson Campbell', 'Toby Huss', 'Duane Martin']","['Director: David S. Ward', 'Producer: Robert Lawrence']"
786,Almost Famous,"['Billy Crudup', 'Frances McDormand', 'Kate Hudson', 'Jason Lee', 'Patrick Fugit', 'Zooey Deschanel', 'Michael Angarano', 'Anna Paquin', 'Fairuza Balk', 'Noah Taylor']","['Director: Cameron Crowe', 'Producer: Ian Bryce', 'Producer: Lisa Stewart', 'Producer: Scott M. Martin', 'Producer: Cameron Crowe']"
891699,Silent Night,"['Joel Kinnaman', 'Kid Cudi', 'Harold Torres', 'Catalina Sandino Moreno', 'Valeria Santaella', ""Vinny O'Brien"", 'Acoyani Chacon', 'Angeles Woo', 'Alejandro De Los Monteros', ""Robert 'Rock' Galotti""]","['Writer: Robert Archer Lynn', 'Producer: John Woo', 'Director: John Woo', 'Producer: Basil Iwanyk', 'Producer: Erica Lee', 'Producer: Christian Mercuri', 'Producer: Lori Tilkin']"
860,WarGames,"['Matthew Broderick', 'Dabney Coleman', 'John Wood', 'Ally Sheedy', 'Barry Corbin', 'Juanin Clay', 'Kent Williams', 'Dennis Lipscomb', 'Joe Dorsey', 'Irving Metzman']","['Producer: Richard Hashimoto', 'Director: John Badham', 'Producer: Harold Schneider']"
674324,The Banshees of Inisherin,"['Colin Farrell', 'Brendan Gleeson', 'Kerry Condon', 'Barry Keoghan', 'Gary Lydon', 'Pat Shortt', 'Sheila Flitton', 'Bríd Ní Neachtain', 'Jon Kenny', 'Aaron Monaghan']","['Director: Martin McDonagh', 'Producer: Martin McDonagh', 'Producer: Graham Broadbent', 'Producer: Peter Czernin', 'Writer: Martin McDonagh']"
1636,Bedazzled,"['Brendan Fraser', 'Elizabeth Hurley', ""Frances O'Connor"", 'Miriam Shor', 'Orlando Jones', 'Paul Adelstein', 'Toby Huss', 'Gabriel Casseus', 'Brian Doyle-Murray', 'Jeff Doucette']","['Director: Harold Ramis', 'Producer: Trevor Albert', 'Producer: Harold Ramis']"
11329,Runaway Jury,"['John Cusack', 'Gene Hackman', 'Dustin Hoffman', 'Rachel Weisz', 'Bruce Davison', 'Bruce McGill', 'Jeremy Piven', 'Leland Orser', 'Nick Searcy', 'Nestor Serrano']","['Producer: Arnon Milchan', 'Director: Gary Fleder', 'Producer: Gary Fleder', 'Producer: Christopher Mankiewicz']"
1012148,Chapel,"['Jeremy Sumpter', 'Pardis Saremi', 'Lochlyn Munro', 'Taryn Manning', 'Kyler Steven Fisher', 'Tilky Jones', 'Emily Ashby', 'Carol Anne Watts', 'Matthew Fahey', 'Shawn Stevens']","['Writer: Courtney Paige', 'Director: Courtney Paige']"
9513,Garfield: A Tail of Two Kitties,"['Breckin Meyer', 'Jennifer Love Hewitt', 'Billy Connolly', 'Bill Murray', 'Tim Curry', 'Ian Abercrombie', 'Roger Rees', 'Lucy Davis', 'Lena Cardwell', 'Veronica Alicino']","['Producer: John Davis', 'Director: Tim Hill']"
447200,Skyscraper,"['Dwayne Johnson', 'Neve Campbell', 'Chin Han', 'Roland Møller', 'Noah Taylor', 'Byron Mann', 'Pablo Schreiber', 'McKenna Roberts', 'Noah Cottrell', 'Hannah Quinlivan']","['Director: Rawson Marshall Thurber', 'Producer: Dwayne Johnson', 'Producer: Beau Flynn', 'Producer: Mary Parent', 'Producer: Hiram Garcia', 'Producer: Rawson Marshall Thurber']"
14258,Wonderful Days,"['Won-Je Tak', 'Eun Yeong Seon', 'Oh In Seong', 'Kim Sung-min', 'Yoo Ji-tae', 'Sunmin Park', 'Joon-ho Chung', 'Pak Ton-ha']","['Producer: Lee Gyeong-hak', 'Writer: Jun-Young Park', 'Producer: Kay Hwang', 'Writer: Jay Lender', 'Writer: Michael Keyes', 'Director: Moon-saeng Kim', 'Writer: Moon-saeng Kim']"
945729,A Haunting in Venice,"['Kenneth Branagh', 'Kyle Allen', 'Camille Cottin', 'Jamie Dornan', 'Tina Fey', 'Jude Hill', 'Ali Khan', 'Emma Laird', 'Kelly Reilly', 'Riccardo Scamarcio']","['Director: Kenneth Branagh', 'Producer: Judy Hofflund', 'Producer: Simon Kinberg', 'Producer: Ridley Scott', 'Producer: Kenneth Branagh']"
150,48 Hrs.,"['Nick Nolte', 'Eddie Murphy', ""Annette O'Toole"", 'Frank McRae', 'James Remar', 'David Patrick Kelly', 'Sonny Landham', 'Brion James', 'Kerry Sherman', 'Jonathan Banks']","['Director: Walter Hill', 'Producer: Joel Silver', 'Producer: Lawrence Gordon', 'Writer: Walter Hill', 'Writer: Roger Spottiswoode', 'Writer: Larry Gross', 'Writer: Steven E. de Souza']"
718099,Kishmish,"['Dev', 'Rukmini Maitra', 'Kamaleswar Mukherjee', 'Anjana Basu', 'Kharaj Mukherjee', 'June Maliah', 'Lily Chakravarty', 'Ankush Hazra', 'Rituparna Sengupta', 'Paran Banerjee']","['Producer: Gurupada Adhikari', 'Producer: Dev', 'Director: Rahool Mukherjee']"
582,The Lives of Others,"['Martina Gedeck', 'Ulrich Mühe', 'Sebastian Koch', 'Ulrich Tukur', 'Thomas Thieme', 'Hans-Uwe Bauer', 'Volkmar Kleinert', 'Matthias Brenner', 'Charly Hübner', 'Herbert Knaup']","['Director: Florian Henckel von Donnersmarck', 'Producer: Max Wiedemann', 'Producer: Quirin Berg']"
532794,Sex Plate 17,"['Choi Jae-hwan', 'Park Kyoung-hee', 'Kim Nam-soo', 'Park Ha-on', 'Jo Ah-rang', 'Han Sang-gyoo']",['Director: Song Eun-joo']
382597,R.A.I.D. Special Unit,"['Alice Pol', 'Dany Boon', 'Michel Blanc', 'Yvan Attal', 'Sabine Azéma', 'Patrick Mille', 'François Levantal', 'Florent Peyre', 'Anne Marivin', 'Alain Doutey']","['Director: Dany Boon', 'Writer: Dany Boon', 'Writer: Sarah Kaminsky', 'Producer: Jérôme Seydoux']"
1700,Misery,"['James Caan', 'Kathy Bates', 'Richard Farnsworth', 'Frances Sternhagen', 'Lauren Bacall', 'Graham Jarvis', 'Jerry Potter', 'Thomas Brunelle', 'June Christopher', 'Julie Payne']","['Director: Rob Reiner', 'Producer: Rob Reiner', 'Producer: Andrew Scheinman']"
2698,Evan Almighty,"['Steve Carell', 'Morgan Freeman', 'Lauren Graham', 'Johnny Simmons', 'Graham Phillips', 'Jimmy Bennett', 'John Goodman', 'Wanda Sykes', 'John Michael Higgins', 'Jonah Hill']","['Director: Tom Shadyac', 'Producer: Tom Shadyac', 'Producer: Gary Barber', 'Producer: Roger Birnbaum', 'Producer: Neal H. Moritz', 'Producer: Michael Bostick']"
644124,Dampyr,"['Wade Briggs', 'Stuart Martin', 'Frida Gustavsson', 'Sebastian Croft', 'Luke Roberts', 'David Morrissey', 'Radu Andrei Micu', 'Ionut Grama', 'Florin Frăţilă', 'Mădălina Bellariu Ion']","['Producer: Andrea Sgaravatti', 'Producer: Vincenzo Sarno', 'Producer: Roberto Proia', 'Director: Riccardo Chemello']"
2652,Hard Candy,"['Elliot Page', 'Patrick Wilson', 'Sandra Oh', 'Odessa Rae', 'G.J. Echternkamp', 'Cori Bright']","['Director: David Slade', 'Producer: Michael Caldwell', 'Producer: David Higgins', 'Producer: Richard Hutton', 'Writer: Brian Nelson']"
7484,Open Season,"['Martin Lawrence', 'Ashton Kutcher', 'Gary Sinise', 'Debra Messing', 'Billy Connolly', 'Georgia Engel', 'Jon Favreau', 'Jane Krakowski', 'Gordon Tootoosis', 'Patrick Warburton']","['Director: Roger Allers', 'Director: Jill Culton', 'Producer: Buzz Hays', 'Producer: Michelle Murdocca']"
